web-scraper-order,web-scraper-start-url,figure_link,figure_link-href,name,description,image-src,price
"1700697501-140","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Klatooinian Raider","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/klatooinian-raider-4594.php","Star Wars The Vintage Collection Klatooinian Raider","Star Wars The Vintage Collection Klatooinian Raider 
A ruthless gang that preys on the defenseless krill farmers of Sorgan, the Klatooinian raiders steal the bountiful crops harvested from the water-logged growing pools.","/star-wars/images/thumbs/klatooinian-raider-4594.jpg","C$20.53"
"1700697503-141","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Cal Kestis","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/cal-kestis-4595.php","Star Wars The Vintage Collection Cal Kestis","Star Wars The Vintage Collection Cal Kestis 
One of the last surviving members of the Jedi Order, Cal Kestis and his valiant droid companion BD-1 openly resist the growing power and domination of the evil Galactic Empire.","/star-wars/images/thumbs/cal-kestis-4595.jpg","C$22.27"
"1700697505-142","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Luke Skywalker (Imperial Light Cruiser)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/luke-skywalker-imperial-light-cruiser-4593.php","Star Wars The Vintage Collection Luke Skywalker (Imperial Light Cruiser)","Star Wars The Vintage Collection Luke Skywalker (Imperial Light Cruiser) 
Luke Skywalker was a Tatooine farmboy who rose from humble beginnings to become one of the greatest Jedi the galaxy has ever known.","/star-wars/images/thumbs/luke-skywalker-imperial-light-cruiser-4593.jpg","C$26.43"
"1700697508-143","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Artillery Stormtrooper","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/artillery-stormtrooper-5452.php","Star Wars The Vintage Collection Artillery Stormtrooper","Star Wars The Vintage Collection Artillery Stormtrooper 
Specialized soldiers in the Imperial forces, artillery stormtroopers carry specialized indirect fire weapons like mortars onto the battlefield.","/star-wars/images/thumbs/artillery-stormtrooper-5452.jpg","C$17.13"
"1700697510-144","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Vel Sartha","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/vel-sartha-5269.php","Star Wars The Vintage Collection Vel Sartha","Star Wars The Vintage Collection Vel Sartha 
In an era filled with danger, deception, and intrigue, Cassian Andor embarks on a path that will turn him into the rebel hero who will challenge the evil Galactic Empire.","/star-wars/images/thumbs/vel-sartha-5269.jpg","C$18.31"
"1700697512-145","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Cassian Andor","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/cassian-andor-5268.php","Star Wars The Vintage Collection Cassian Andor","Star Wars The Vintage Collection Cassian Andor 
In an era filled with danger, deception, and intrigue, Cassian Andor embarks on a path that will turn him into the rebel hero who will challenge the evil Galactic Empire.","/star-wars/images/thumbs/cassian-andor-5268.jpg","null"
"1700697514-146","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","R2-SHW","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/r2-shw-4269.php","Star Wars The Vintage Collection R2-SHW","Star Wars The Vintage Collection R2-SHW 
Featuring premium detail and design across multiple points of articulation, as well as original Kenner branding, the collectible STAR WARS: THE VINTAGE COLLECTION 3.75-INCH R2-SHW (ANTOC MERRICK’S DROID) figure is inspired by the character in ROGUE ONE: A STAR WARS STORY.","/star-wars/images/thumbs/r2-shw-4269.jpg","C$25.32"
"1700697516-147","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Purge Trooper (Phase II Armor)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/purge-trooper-phase-ii-armor-4331.php","Star Wars The Vintage Collection Purge Trooper (Phase II Armor)","Star Wars The Vintage Collection Purge Trooper (Phase II Armor) 
Star Wars Vintage Collection VC 259 Purge Trooper (Phase II Armor)","/star-wars/images/thumbs/purge-trooper-phase-ii-armor-4331.jpg","C$37.16"
"1700697518-148","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Teeka","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/teeka-4332.php","Star Wars The Vintage Collection Teeka","Star Wars The Vintage Collection Teeka 
Star Wars Vintage Collection VC 258 Teeka action figure","/star-wars/images/thumbs/teeka-4332.jpg","C$19.87"
"1700697521-149","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Ben Kenobi (Tibidon Station)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/ben-kenobi-tibidon-station-4330.php","Star Wars The Vintage Collection Ben Kenobi (Tibidon Station)","Star Wars The Vintage Collection Ben Kenobi (Tibidon Station) 
Star Wars Vintage Collection VC 257 Ben Kenobi (Tibidon Station) action figure.","/star-wars/images/thumbs/ben-kenobi-tibidon-station-4330.jpg","C$13.48"
