web-scraper-order,web-scraper-start-url,figure_link,figure_link-href,name,description,image-src,price
"1700698602-511","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Vypra (Python Patrol)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/vypra-python-patrol-7011.php","G.I. Joe 6"" Classified Series Vypra (Python Patrol)","G.I. Joe 6"" Classified Series Vypra (Python Patrol) 
Vypra allegedly offered her services to Cobra Commander as a mercenary and intelligence courier by audaciously sneaking into his private business meeting at Extensive Enterprises. Intrigued by her boldness he brought her aboard.



This Python Patrol Vypra figure contains 6 character-inspired accessory pieces including skull mask, katana and wakizashi swords, quiver, and bow and arrow; plus a footlocker to stow all her gear! 


Exclusive to Target with limited quantities available on HasbroPulse.com.","/gijoe/images/thumbs/vypra-python-patrol-7011.jpg","C$41.01"
"1700698604-512","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Robert (Grunt) Graves","https://www.actionfigure411.com/gijoe/6-classified-series/classified/robert-grunt-graves-6851.php","G.I. Joe 6"" Classified Series Robert (Grunt) Graves","G.I. Joe 6"" Classified Series Robert (Grunt) Graves 
Grunt is a highly motivated, systematic individual. He's a stand-up guy who doesn't blow his cool in a fire-fight.



Robert ""Grunt"" Graves comes ready for adventure, with multiple points of articulation for high poseability. This Robert ""Grunt"" Graves figure contains 8 character-inspired accessories including 2 helmets, knife, backpack, fold-down team awareness device, and 3 weapon accessories; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/robert-grunt-graves-6851.jpg","C$40.49"
"1700698606-513","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Low-Light","https://www.actionfigure411.com/gijoe/6-classified-series/classified/low-light-6853.php","G.I. Joe 6"" Classified Series Low-Light","G.I. Joe 6"" Classified Series Low-Light 
As a child Low-Light was afraid of the dark until one precarious outdoor expedition. He was found three weeks later with a flashlight and a grin from ear to ear. ""Wait until dark. It doesn’t matter what field of fire the bad guys control—the night belongs to Low-Light.""



Low-Light comes ready for adventure, with multiple points of articulation for high poseability. This Low-Light figure contains 10 character-inspired accessories including backpack, weapon case, knife, his signature goggles, and 2 weapon accessories; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/low-light-6853.jpg","C$37.00"
"1700698608-514","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Crimson Viper","https://www.actionfigure411.com/gijoe/6-classified-series/classified/crimson-viper-6870.php","G.I. Joe 6"" Classified Series Crimson Viper","G.I. Joe 6"" Classified Series Crimson Viper 
Professing loyalty to the secret cabal formed by the Baroness, Tomax, and Xamot, Crimson Vipers are hand-selected not only for their superior skills and ruthless efficiency, but also for their overwhelming greed. ""We attack like a crimson tide washing over the battlefield, leaving only destruction in our wake.""



Crimson Viper comes ready for adventure, with multiple points of articulation for high poseability. This Crimson Viper figure contains 5 character-inspired accessories including backpack, bandana, goggles, and 2 weapon accessories; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/crimson-viper-6870.jpg","C$31.30"
"1700698611-515","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Firefly (Classic)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/firefly-classic-6868.php","G.I. Joe 6"" Classified Series Firefly (Classic)","G.I. Joe 6"" Classified Series Firefly (Classic) 
No one knows Firefly's real name or what he looks like. He is known by his work. Even COBRA Commander doesn't know much about Firefly. His fees are paid into a numbered Swiss bank account and are always payable in advance. He makes no guarantees and gives no refunds.



This fan-demanded G.I. Joe Classified Series Firefly action figure features premium detailing and articulation for poseability to create dynamic dioramas - or you can play with it, which we recommend. He's 84 in the G.I Joe Classified Series sequence. The closed-box packaging showcases accessory loadout, character-specific File Card Icons, original artwork, and unique digital renders that are perfect for display. 


Includes: goggles, two guns, a backpack, a wheeled drone, explosives, and other accessories, including a knife in case he wants to take a stab at hand-to-hand combat. Wow!","/gijoe/images/thumbs/firefly-classic-6868.jpg","C$42.96"
"1700698613-516","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Tunnel Rat","https://www.actionfigure411.com/gijoe/6-classified-series/classified/tunnel-rat-6824.php","G.I. Joe 6"" Classified Series Tunnel Rat","G.I. Joe 6"" Classified Series Tunnel Rat 
New to the G.I. Joe Classified Series line, Tunnel Rat comes ready for adventure, with multiple points of articulation for high poseability. This Tunnel Rat figure contains 8 character-inspired accessories including goggles, backpack with 2 attachable flashlights, satchel, knife, and 2 weapon accessories; plus a footlocker to stow all his gear! Nicky ""Tunnel Rat"" Lee’s Brooklyn family is Trinidadian Chinese with branches of Irish, Spanish, and Native American thrown in. ""Tunnel Rat figures he can shoot straighter, bite harder, and run faster than anything he’s ever encountered in an enemy tunnel, so what’s to worry.""","/gijoe/images/thumbs/tunnel-rat-6824.jpg","C$33.04"
"1700698615-517","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Crimson Strike Team: Baroness, Tomax & Xamot","https://www.actionfigure411.com/gijoe/6-classified-series/classified/crimson-strike-team-baroness-tomax-xamot-7260.php","G.I. Joe 6"" Classified Series Crimson Strike Team: Baroness, Tomax & Xamot","G.I. Joe 6"" Classified Series Crimson Strike Team: Baroness, Tomax & Xamot 
As tensions within the leadership of Cobra continue to rise, the Baroness in alliance with Tomax and Xamot has formed an elite squad of troopers loyal only to them. Combined, they are the Crimson Strike Team, ready to seize control in the board room or battlefield.



Set contains 27 character-inspired accessories including 2 pairs of glasses, alternate hair and 2 alternate heads for Baronness, 3 figure stands, and 19 golden weapon accessories","/gijoe/images/thumbs/crimson-strike-team-baroness-tomax-xamot-7260.jpg","C$103.27"
"1700698617-518","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Cobra Eel","https://www.actionfigure411.com/gijoe/6-classified-series/classified/cobra-eel-6822.php","G.I. Joe 6"" Classified Series Cobra Eel","G.I. Joe 6"" Classified Series Cobra Eel 
Eels are the underwater demolitions specialists of the COBRA legions. They staff and operate the Cobra marine outposts disguised as off-shore drilling rigs and augment the crews of larger Cobra naval vessels.



Eels undergo a rigorous training program in the warm shark and pirate infested waters of the Cayman Islands in the Caribbean and in the frigid dark depths of the North Atlantic. They become proficient in using closed-circuit underwater breathing and electronic detection gear. Their training regimen includes marine structural engineering, explosive ordnance, underwater fighting techniques, and marine geology.","/gijoe/images/thumbs/cobra-eel-6822.jpg","C$71.90"
"1700698619-519","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Ralph “Nunchuck” Badducci","https://www.actionfigure411.com/gijoe/6-classified-series/classified/ralph-nunchuck-badducci-6869.php","G.I. Joe 6"" Classified Series Ralph “Nunchuck” Badducci","G.I. Joe 6"" Classified Series Ralph “Nunchuck” Badducci 
Trained by the best of the best himself, Ralph ""Nunchuk"" Badducci serves G.I. Joe as their chief Martial Arts Instructor passing that knowledge along to the entire team. With his devastating attacks Nunchuk is truly a Ninja force to be reckoned with.



Ralph ""Nunchuk"" Badducci comes ready for adventure, with multiple points of articulation for high poseability. This Ralph ""Nunchuk"" Badducci figure contains 7 character-inspired accessories including a dagger, 2 swords, 2 claws and 2 of his namesake nunchaku; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/ralph-nunchuck-badducci-6869.jpg","null"
"1700698621-520","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Cobra Tele-Viper & Cobra Flight Pod (Trubble Bubble)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/cobra-tele-viper-cobra-flight-pod-trubble-bubble-5681.php","G.I. Joe 6"" Classified Series Cobra Tele-Viper & Cobra Flight Pod (Trubble Bubble)","G.I. Joe 6"" Classified Series Cobra Tele-Viper & Cobra Flight Pod (Trubble Bubble) 
Tele-Viper & Cobra Flight Pod (Trubble Bubble) comes ready for adventure, with multiple points of articulation for high poseability. This Tele-Viper & Cobra Flight Pod (Trubble Bubble) figure and vehicle set contains 9 character-inspired accessories including two alternate heads, backpack with modular communications array, an aerial mine with removable hatch, and 2 missile accessories; plus a footlocker to stow their gear! Tele-Vipers drop into battle in their one-troop jet pods while jamming Joe communication frequencies. They bring nothing but trouble!



Includes: Figure, Vehicle, and 9 accessories","/gijoe/images/thumbs/cobra-tele-viper-cobra-flight-pod-trubble-bubble-5681.jpg","C$101.44"
